Артикул;Основная категория товара;Подраздел категории товара;Наименование;Описание;Производитель;Артикул производителя;Цена (Розница);Цена (Опт);Можно купить;На складе;Время отгрузки;Размер;Цвет;aID;Материал;Батарейки;Упаковка;Вес (брутто);Фотография маленькая до 150*150;Фотография 1;Фотография 2;Фотография 3;Фотография 4;Фотография 5;Штрихкод
172;Секс-товары для женщин;Вагинальные шарики;Пластиковые вагинальные шарики;Хотите управлять своим телом еще лучше, чем сейчас? После родов не чувствуете тесного контакта с пенисом партнера как раньше?В таком случае на помощь вам придут эти вагинальные шарики со смещенным центром тяжести. Вводя их внутрь себя в положении стоя и пытаясь максимально долго удержать их внутри, вы заставляете мышцы работать. Регулярные тренировки помогут многократно увеличить силу внутренних объятий. ;Seven Creations;7334 BX GP;610.00;271.16;1;592;2;;молочный;176;пластик;;картонная коробка;75;http://feed.p5s.ru/images/small/0/small_172.jpg;http://feed.p5s.ru/images/big/0/172.jpg;;;;;4,89E+12
173;Секс-товары для женщин;Вагинальные шарики;Вагинальные шарики со смещенным центром тяжести SOFT LATEX VIBRATONE BALL;Два шарика телесного цвета со смещенным центром тяжести, в мягкой оболочке. Крепко-накрепко связаны между собой. Зачем? Чтобы вы смогли тренировать свои интимные мышцы с удовольствием!  Удерживайте, стоя на полу, бусины внутри лона. Выталкивайте их из себя, лежа на кровати. Сжимайте так сильно, как получается. Всё это поможет вам укрепить мышечные стенки вагины, а значит, и силу интимных объятий. ;Seven Creations;7334A BX GP;656.00;291.56;0;0;3;;бежевый;177;латекс;;картонная коробка;85;http://feed.p5s.ru/images/small/0/small_173.jpg;http://feed.p5s.ru/images/big/0/173.jpg;http://feed.p5s.ru/images/big/0/173-1.jpg;;;;4,89E+12
180;Секс-товары для женщин;Вагинальные шарики;Серебристые вагинальные шарики с вибрацией ORGASM VIBRATING BALL;Эти серебряные шарики – не что иное, как тренажер. И, как любая другая силовая машина, предназначен для укрепления мышц. Правда не ножных или спинных, а интимных.  Погружая вибрирующие шарики внутрь своего лона и удерживая их там, вы не только доставляете себе удовольствие, но и «работаете» над силой интимных объятий. Упорные тренировки, и мужчина не сможет устоять против сладких вагинальных тисков. ;Seven Creations;7214S-J BX GP;1879.00;988.81;1;33;2;;серебристый;184;пластик;2 шт., тип AA;картонная коробка;80;http://feed.p5s.ru/images/small/0/small_180.jpg;http://feed.p5s.ru/images/big/0/180.jpg;http://feed.p5s.ru/images/big/0/180-1.jpg;http://feed.p5s.ru/images/big/0/180-2.jpg;;;4,89E+12
181;Секс-товары для женщин;Вагинальные шарики;Вагинальные шарики с вибратором золотого цвета ORGASM VIBRATING BALL;Эти вагинальные виброшарики  - отличный инструмент для предварительных ласк. Поцелуи и раззадоривающие покусывания – это, конечно же, здорово. Но мультискоростная вибрация этих шариков заведёт вас с партнёром куда как быстрее.  Погрузите эти золотые бусины в лоно, а затем вытолкните их из себя. Пусть партнер снова протолкнёт их внутрь вашего тела, а вытянет с помощью мягкой сцепки. Все эти чувственные движения не только доставляют удовольствие, но и усиливают возбуждение. ;Seven Creations;7214QG-J BX GP;2042.00;1134.29;1;23;2;;золотистый;185;пластик;2 шт., тип AA;картонная коробка;100;http://feed.p5s.ru/images/small/0/small_181.jpg;http://feed.p5s.ru/images/big/0/181.jpg;http://feed.p5s.ru/images/big/0/181-1.jpg;;;;4,89E+12
218;Фаллоимитаторы;Реалистичные;Ультрареалистичный фаллоимитатор The Realistic Cock ULTRASKYN 8” - 20,57 см.;Если в вашей коллекции секс-игрушек не хватает реалистичного фаллоимитатора – упругого, мягкого, тёплого на ощупь, перед вами – идеальный кандидат!  Этот фаллос с розовой головкой и паутиной вен отвечает всем вашим требованиям. А также обещает невероятные ощущения при вагинальной стимуляции.  Съёмная присоска на основании, благодаря которой фаллоимитатор быстро фиксируется на твёрдых плоскостях, расширит количество поз для самоудовлетворения.  Рабочая длина - 18,54 см.;Doc Johnson;0276-02-BX;9664.00;6234.61;1;60;2;;телесный;222;ULTRASKYN;;картонная коробка;575;http://feed.p5s.ru/images/small/0/small_218.jpg;http://feed.p5s.ru/images/big/0/218.jpg;http://feed.p5s.ru/images/big/0/218-1.jpg;http://feed.p5s.ru/images/big/0/218-2.jpg;http://feed.p5s.ru/images/big/0/218-3.jpg;;7,82E+11
269;БАДы;Возбуждающие для всех;Возбуждающие капли для двоих Love Drops Liebes Tropfen - 20 мл.;Перед и во время полового акта организм расходует много энергии. Капли «Либес Тропфен» состоят из комбинации натуральных растительных афродизиаков, активизируют собственные резервы организма, сексуально тонизируют и стимулируют половое влечение.  Для чего: Для повышения либидо, разнообразия сексуальных отношений, повышения сексуальной энергии.  Для кого: Для мужчин и женщин, стремящихся улучшить свою сексуальную жизнь.  Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Перед применением необходимо проконсультироваться с врачом.;Milan Arzneimittel GmbH;2;2615.00;1452.55;0;0;3;;;273;;;картонная коробка;65;http://feed.p5s.ru/images/small/0/small_269.jpg;http://feed.p5s.ru/images/big/0/269.jpg;http://feed.p5s.ru/images/big/0/269-1.jpg;http://feed.p5s.ru/images/big/0/269-2.jpg;http://feed.p5s.ru/images/big/0/269-3.jpg;;4,03E+12
270;БАДы;Возбуждающие для женщин;Сахар любви для женщин Liebes-Zucker-Feminin - 100 гр.;Любовный сахар для женщин мягко пробуждает сексуальность женщины, помогая раскрыть ее чувственность.  Для чего: Для повышения либидо, разнообразия сексуальных отношений.  Для кого: Для женщин, стремящихся улучшить свою сексуальную жизнь.  Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом.;Milan Arzneimittel GmbH;3;2456.00;1364.58;1;5;2;;;274;;;картонная коробка;150;http://feed.p5s.ru/images/small/0/small_270.jpg;http://feed.p5s.ru/images/big/0/270.jpg;http://feed.p5s.ru/images/big/0/270-1.jpg;http://feed.p5s.ru/images/big/0/270-2.jpg;;;4,03E+12
271;БАДы;Возбуждающие для мужчин;Сахар любви для мужчин Liebes-Zucker maskulin - 100 гр.;Пожалуй, самый приятный способ стимулировать мужскую сексуальную активность – это принести ему в постель чашечку кофе со специальным возбуждающим сахаром. Либес цукер маскулин – это простой и вкусный способ повысить либидо и потенцию.  Для чего: Для повышения либидо, потенции,  разнообразия сексуальных отношений.  Для кого: Для мужчин, желающих повысить потенцию и сексуальную удовлетворенность.  Противопоказания: индивидуальная непереносимость компонентов.Перед применением рекомендуется проконсультироваться с врачом.;Milan Arzneimittel GmbH;4;2277.00;1264.83;1;5;2;;;275;;;картонная коробка;140;http://feed.p5s.ru/images/small/0/small_271.jpg;http://feed.p5s.ru/images/big/0/271.jpg;http://feed.p5s.ru/images/big/0/271-1.jpg;http://feed.p5s.ru/images/big/0/271-2.jpg;;;4,03E+12
284;Страпоны, фаллопротезы;Трусики и насадки;Классическая насадка-фаллос Vac-U-Lock 8  Classic Dong - 20,3 см.;Эта секс-игрушка придётся по нраву всем любительницам острых ощущений. А также по душе тем, кто уже успел познакомиться с системой Vac-u-lock от DocJohnson.  Погружая рельефный фаллос в лоно, вам удастся достигнуть максимального возбуждения – ведь так скользит, так чувственно массирует стеночки.  Если же зафиксировать его на штырьке трусиков Harness, получится страпон. А уж воспользоваться им – одно удовольствие! ;Doc Johnson;1015-01-BX;2391.00;1328.36;1;4;2;;телесный;288;поливинилхлорид (ПВХ, PVC);;картонная коробка;480;http://feed.p5s.ru/images/small/0/small_284.jpg;http://feed.p5s.ru/images/big/0/284.jpg;http://feed.p5s.ru/images/big/0/284-1.jpg;http://feed.p5s.ru/images/big/0/284-2.jpg;;;7,82E+11
298;Страпоны, фаллопротезы;Женские страпоны;Реалистичный страпон унисекс Vac-U-Lock Set 8  ULTRASKYN Ultra Harness - 20,57 см.;Плотно и комфортно облегает бёдра, способен наградить вас внушительным достоинством с ярко выраженной головкой и мягкой мошонкой…  Всё это об этом страпоне унисекс, состоящем из регулируемых по размеру трусиков со штырьком и ультра реалистичной насадки в форме фаллоса.  С ним вам доступны все ведущие секс-роли и максимум блаженства! Рабочая длина - 18,54 см.;Doc Johnson;1050-16-BX;12504.00;8067.01;1;9;2;;телесный;302;ULTRASKYN;;картонная коробка;480;http://feed.p5s.ru/images/small/0/small_298.jpg;http://feed.p5s.ru/images/big/0/298.jpg;http://feed.p5s.ru/images/big/0/298-1.jpg;http://feed.p5s.ru/images/big/0/298-2.jpg;http://feed.p5s.ru/images/big/0/298-3.jpg;;7,82E+11
